"iso3c";"date";"country";"capital_city";"longitude";"latitude";"region";"income_level";"ARB";"SRF";"CO2";"GDP";"POP";"URB";"ARB_est";"SRF_est";"CO2_est";"GDP_est";"POP_est";"URB_est";"ARB_rnk";"SRF_rnk";"CO2_rnk";"GDP_rnk";"POP_rnk";"URB_rnk";"TOT_rnk";"ARB_wgt";"SRF_wgt";"CO2_wgt";"GDP_wgt";"POP_wgt";"URB_wgt";"TOT_wgt"
"ABW";1990;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;487,711;764887117,194486;62149;31273;2000;180;487,711;764887117,194486;62149;31273;191;203;163,5;174;197;196;187,416666666667;0,000141377380239217;0,000136845088857917;0,00219002367296758;0,00337227145517033;0,00118157914467926;0,00138515309016654;0,00140120830534681
"ABW";1991;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;531,715;872138715,083799;64622;32507;2000;180;531,715;872138715,083799;64622;32507;191;203,5;163;172;196;195;186,75;0,000141024488643223;0,000136845057638675;0,00235873604737213;0,0036412937901797;0,00120843215236958;0,0014042073870014;0,00148175648720078
"ABW";1992;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;539,049;958463184,357542;68235;34116;2000;180;539,049;958463184,357542;68235;34116;191;203,5;161;170;196;195;186,083333333333;0,000141259399182417;0,000136845003657189;0,0025223415295206;0,00377960682974208;0,00125579527342079;0,0014383086717356;0,00154569278454311
"ABW";1993;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;649,059;1082979720,67039;72504;35953;2000;180;649,059;1082979720,67039;72504;35953;191;203,5;157;165;193;193;183,75;0,00014163801973463;0,000136844889188412;0,00300578957337004;0,00421086464258866;0,00131384173474783;0,0014801358799231;0,00171485245659211
"ABW";1994;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;660,06;1245688268,15642;76700;37719;2000;180;660,06;1245688268,15642;76700;37719;192;203,5;156;160;192;192;182,583333333333;0,000141895176279263;0,000136852083403467;0,00304715561435028;0,00451431657195705;0,00136904573828209;0,00151712254441047;0,00178773128811377
"ABW";1995;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;707,731;1320474860,3352;80324;39172;2000;180;707,731;1320474860,3352;80324;39172;191;203,5;157;162;192;192;182,916666666667;0,000142159744453037;0,00013685205218146;0,00320664429388975;0,00430526032719715;0,00141279660653485;0,00154005845498885;0,00179062857987419
"ABW";1996;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;726,066;1379960893,85475;83200;40232;2000;180;726,066;1379960893,85475;83200;40232;191;203,5;158;163;192;192;183,25;0,000143019928566363;0,000136851968922845;0,00319983627453747;0,00440433853042064;0,00144238350687799;0,00154653087401252;0,0018121601805563
"ABW";1997;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;759,069;1531944134,07821;85451;40970;2000;180;759,069;1531944134,07821;85451;40970;191;203,5;159;162;192;192;183,25;0,000142480103198069;0,000136780466379344;0,00333442122794658;0,00491062266804652;0,00146052982768799;0,00154025353222943;0,00192084797091466
"ABW";1998;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;806,74;1665100558,65922;87277;41488;2000;180;806,74;1665100558,65922;87277;41488;192;203,5;156;158;192;192;182,25;0,000142200948154266;0,000136808812970455;0,00356757862733492;0,00534600512832921;0,00147124870142478;0,00152587868962684;0,00203162015130674
"ABW";1999;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;810,407;1722798882,68156;89005;41945;2000;180;810,407;1722798882,68156;89005;41945;191;203,5;157;157;192;192;182,083333333333;0,000142152034354198;0,000136808812970455;0,00352693128957729;0,0053365681769063;0,00148033660751164;0,00150973416716323;0,00202208851474719
"ABW";2000;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2379,883;1873452513,96648;90853;42444;2000;180;2379,883;1873452513,96648;90853;42444;191;203,5;126;153;192;192;176,25;0,000142610501043761;0,000136808728748745;0,0100587534280332;0,00562459693491204;0,00149131014091382;0,00149532728192002;0,00315823450259526
"ABW";2001;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2409,219;1920111731,84358;92898;43048;2000;180;2409,219;1920111731,84358;92898;43048;191,5;203,5;128;154;192;193;177;0,00014291622740999;0,000136808322833075;0,0101054789182937;0,00579378582906888;0,00150531516400916;0,00148286487222582;0,00319452822230677
"ABW";2002;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2438,555;1941340782,12291;94992;43670;2000;180;2438,555;1941340782,12291;94992;43670;191,5;203,5;127;157;192;192;177,166666666667;0,000143408864247393;0,000136807881176684;0,0100101080018088;0,00564225619047851;0,00151980014749655;0,00146968766185358;0,00315367812451026
"ABW";2003;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2563,233;2021229050,27933;97017;44246;2000;180;2563,233;2021229050,27933;97017;44246;191;203,5;129;164;192;193;178,75;0,000142976527362557;0,000136807463828345;0,0100077751668064;0,00523326608328329;0,00153281672736666;0,00145510411722973;0,00308479101431282
"ABW";2004;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2618,238;2228491620,11173;98737;44669;2000;180;2618,238;2228491620,11173;98737;44669;191,5;203,5;127;165;192;193;178,666666666667;0,000142669231136071;0,000136809393728927;0,00976406119534771;0,00512191804382731;0,00154062045737205;0,00143563666518005;0,00302361916443202
"ABW";2005;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2720,914;2330726256,98324;100031;44889;2000;180;2720,914;2330726256,98324;100031;44889;192;203,5;130;166;192;193;179,416666666667;0,000142246012651182;0,00013680735842795;0,0098067697865546;0,00494505878444227;0,00154154110277504;0,00141009097078964;0,00299708566927345
"ABW";2006;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2717,247;2424581005,58659;100834;44882;2000;180;2717,247;2424581005,58659;100834;44882;191,5;203,5;129;169;192;193;179,666666666667;0,0001433211377318;0,000136807010124562;0,00945842580139137;0,00474442558867148;0,00153478279064943;0,00137842560345467;0,00289936465533722
"ABW";2007;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2823,59;2615083798,88268;101222;44686;2000;180;2823,59;2615083798,88268;101222;44686;191,5;203,5;131;171;192;193;180,333333333333;0,000143539987291079;0,000136806967519335;0,00967167342538607;0,00453913967627006;0,00152183743626481;0,00134229230309597;0,00289254829930456
"ABW";2008;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2658,575;2745251396,64804;101358;44378;2000;180;2658,575;2745251396,64804;101358;44378;191,5;203,5;134;171;192;195;181,166666666667;0,000143302688785946;0,000136599876398278;0,00875278063404958;0,00434051474584751;0,00150518487518024;0,00130352669650021;0,00269698491946029
"ABW";2009;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2629,239;2498882681,56425;101455;44053;2000;180;2629,239;2498882681,56425;101455;44053;191,5;203,5;135;173;192;195;181,666666666667;0,00014372502726454;0,000136602288783752;0,00887546956598267;0,00416524035027484;0,00148837272001033;0,00126576686674396;0,00267919613651002
"ABW";2010;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2508,228;2390502793,29609;101669;43778;2000;180;2508,228;2390502793,29609;101669;43778;191,5;203,5;140;176;193;196;183,333333333333;0,00014413048435126;0,000136602054326359;0,00793372564522656;0,00364109257341777;0,00147373433249714;0,00123087000779964;0,00242669251626979
"ABW";2011;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;2500,894;2549720670,39106;102046;43819;2000;180;2500,894;2549720670,39106;102046;43819;192;203,5;138;177;193;196;183,25;0,000143361297359444;0,000136601792862595;0,00763066298157283;0,00349537972348574;0,00146204415377127;0,0012070038105148;0,00234584229326111
"ABW";2012;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;1349,456;2534636871,50838;102560;44057;2000;180;1349,456;2534636871,50838;102560;44057;192;203,5;156;177;193;195;186,083333333333;0,000142434147052796;0,000136604423988395;0,00404302481538318;0,0033960642629465;0,00145217646870345;0,00118900649080346;0,0017265517681463
"ABW";2013;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;861,745;2701675977,65363;103159;44348;2000;180;861,745;2701675977,65363;103159;44348;192;204,5;166;176;192;195;187,583333333333;0,000142164431955851;0,000136351392514498;0,0025693376772269;0,00351914292058224;0,0014435295310169;0,00117274434717616;0,00149721171674542
"ABW";2014;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;872,746;2765363128,49162;103774;44665;2000;180;872,746;2765363128,49162;103774;44665;192;204,5;166;178;192;195;187,916666666667;0,000141348841570146;0,000136353152130031;0,00258279120943756;0,00350558442201046;0,00143515570860547;0,00115740698009262;0,00149310671897438
"ABW";2015;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;898,415;2919553072,6257;104341;44979;2000;180;898,415;2919553072,6257;104341;44979;192;204,5;167;176;192;195;187,75;0,000140421668426248;0,00013635038034094;0,00266333788289936;0,00391093249863666;0,00142629462883624;0,00114226914434891;0,00156993436724806
"ABW";2016;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;180;883,747;2965921787,7095;104872;45296;2000;180;883,747;2965921787,7095;104872;45296;192;204,5;167;175;192;195;187,583333333333;0,000140509574165099;0,000136362953710154;0,00263777057242118;0,00391317660485873;0,00141703425089881;0,00112749546646771;0,00156205823708695
"ABW";2017;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";NA;180;NA;3056424581,00559;105366;45616;NA;180;NA;3056424581,00559;105366;45616;1;204,5;1;176;192;195;128,25;NA;0,000136362953710154;NA;0,00378831440953328;0,00140759082593464;0,00111330692349709;NA
"ABW";2018;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";NA;180;NA;NA;105845;45948;NA;180;NA;3250159406,82351;105845;45948;1;204,5;1;174;192;195;127,916666666667;NA;0,000136362953710154;NA;0,00378831440953328;0,00139851162986464;0,0011001282776479;NA
"ABW";2019;"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";NA;NA;NA;NA;106314;46295;NA;NA;NA;3301525889,31184;106314;46295;1;1;1;174;192;195;94;NA;NA;NA;0,00378831440953328;0,00138973122178175;0,00108785400555982;NA
"AFG";1990;"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";7910000;652860;2614,571;NA;12412308;2628554;7910000;652860;2614,571;2673227581,88182;12412308;2628554;32;39;119;134;56;91;78,5;0,559147538846102;0,496337137287666;0,0117405028483149;0,0117858555398599;0,235983270368559;0,116424701684188;0,238569834429115
