"iso3c";"country";"capital_city";"longitude";"latitude";"region";"income_level";"date";"ARB";"SRF";"CO2";"GDP";"POP";"URB"
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";1990;2000;180;487,711;764887117,194486;62149;31273
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";1991;2000;180;531,715;872138715,083799;64622;32507
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";1992;2000;180;539,049;958463184,357542;68235;34116
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";1993;2000;180;649,059;1082979720,67039;72504;35953
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";1994;2000;180;660,06;1245688268,15642;76700;37719
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";1995;2000;180;707,731;1320474860,3352;80324;39172
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";1996;2000;180;726,066;1379960893,85475;83200;40232
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";1997;2000;180;759,069;1531944134,07821;85451;40970
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";1998;2000;180;806,74;1665100558,65922;87277;41488
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";1999;2000;180;810,407;1722798882,68156;89005;41945
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2000;2000;180;2379,883;1873452513,96648;90853;42444
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2001;2000;180;2409,219;1920111731,84358;92898;43048
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2002;2000;180;2438,555;1941340782,12291;94992;43670
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2003;2000;180;2563,233;2021229050,27933;97017;44246
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2004;2000;180;2618,238;2228491620,11173;98737;44669
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2005;2000;180;2720,914;2330726256,98324;100031;44889
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2006;2000;180;2717,247;2424581005,58659;100834;44882
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2007;2000;180;2823,59;2615083798,88268;101222;44686
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2008;2000;180;2658,575;2745251396,64804;101358;44378
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2009;2000;180;2629,239;2498882681,56425;101455;44053
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2010;2000;180;2508,228;2390502793,29609;101669;43778
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2011;2000;180;2500,894;2549720670,39106;102046;43819
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2012;2000;180;1349,456;2534636871,50838;102560;44057
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2013;2000;180;861,745;2701675977,65363;103159;44348
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2014;2000;180;872,746;2765363128,49162;103774;44665
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2015;2000;180;898,415;2919553072,6257;104341;44979
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2016;2000;180;883,747;2965921787,7095;104872;45296
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2017;NA;180;NA;3056424581,00559;105366;45616
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2018;NA;180;NA;NA;105845;45948
"ABW";"Aruba";"Oranjestad";-70,0167;12,5167;"Latin America & Caribbean";"High income";2019;NA;NA;NA;NA;106314;46295
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";1990;7910000;652860;2614,571;NA;12412308;2628554
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";1991;7910000;652860;2438,555;NA;13299017;2828169
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";1992;7910000;652860;1393,46;NA;14485546;3093388
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";1993;7824000;652860;1345,789;NA;15816603;3391712
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";1994;7703000;652860;1294,451;NA;17075727;3677087
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";1995;7653000;652860;1243,113;NA;18110657;3916248
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";1996;7647000;652860;1177,107;NA;18853437;4093835
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";1997;7685000;652860;1096,433;NA;19357126;4220821
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";1998;7757000;652860;1041,428;NA;19737765;4321584
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";1999;7653000;652860;821,408;NA;20170844;4434762
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";2000;7683000;652860;773,737;NA;20779953;4587798
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";2001;7683000;652860;817,741;NA;21606988;4790053
"AFG";"Afghanistan";"Kabul";69,1761;34,5228;"South Asia";"Low income";2002;7678000;652860;1070,764;4055179566,34981;22600770;5031157
